Wojewodztwo,2012,2015,2018,2021,2024,szerokosc,dlugosc
DOLNOŚLĄSKIE,3 987,4 136,4 461,6 062,8 663,51.1079 ,17.0385 
KUJAWSKO-POMORSKIE,3 272,3 217,3 866,5 117,6 740,53.1235 ,18.0084 
LUBELSKIE,3 948,3 975,4 562,5 888,8 205,51.2465 ,22.5684 
LUBUSKIE,2 579,2 603,3 141,4 109,6 117,51.9356 ,15.5062 
ŁÓDZKIE,3 447,3 422,4 046,5 595,7 588,51.7592 ,19.4560 
MAŁOPOLSKIE,5 699,5 893,6 000,8 036,11 822,50.0647 ,19.9450 
MAZOWIECKIE,6 582,6 654,7 250,8 379,12 228,52.2297 ,21.0122 
OPOLSKIE,2 831,2 768,3 118,4 027,6 084,50.6711 ,17.9253 
PODKARPACKIE,3 371,3 661,3 942,5 368,7 352,50.0413 ,21.9990 
PODLASKIE,3 921,3 920,4 193,5 688,8 077,53.1325 ,23.1688 
POMORSKIE,5 007,4 862,5 698,7 493,9 905,54.3520 ,18.6466 
ŚLĄSKIE,2 751,2 736,3 096,4 473,6 745,50.2649 ,19.0238 
ŚWIĘTOKRZYSKIE,3 757,3 574,3 775,5 101,7 227,50.8661 ,20.6286 
WARMIŃSKO-MAZURSKIE,3 215,3 181,3 515,4 790,6 425,53.7799 ,20.4942 
WIELKOPOLSKIE,4 138,4 208,4 550,5 354,7 736,52.4064 ,16.9252 
ZACHODNIOPOMORSKIE,3 671,3 493,4 358,5 497,7 244,53.4285 ,14.5528 
