Wojewodztwo,2012,2015,2018,2021,2024
Dolnośląskie,3709.32,4204.24,4942.39,6242.88,8867.46
Kujawsko-Pomorskie,3182.31,3540.25,4139.21,5286.83,7710.78
Lubelskie,3382.66,3699.48,4260.71,5318.68,7771.05
Lubuskie,3203.18,3567.6,4239.92,5286.5,7887.19
Łódzkie,3383.3,3790.76,4441.29,5622.29,8096.32
Małopolskie,3456.16,3906.96,4678.95,6046.95,8818.71
Mazowieckie,4637.58,5098.55,5888.9,7108.2,10018.71
Opolskie,3358.42,3793.28,4379.25,5492.82,7958.35
Podkarpackie,3152.36,3527.62,4089.81,5172.11,7514.69
Podlaskie,3310.71,3647.08,4264.04,5412.89,7850.16
Pomorskie,3696.89,4132.13,4794.74,5994.33,8620.28
Śląskie,3855.26,4221.45,4825.28,5907.84,8537.54
Świętokrzyskie,3250.94,3580.62,4171.17,5262.19,7664.18
Warmińsko-Mazurskie,3150.27,3495.02,4028.33,5126.75,7529.41
Wielkopolskie,3397.25,3723.69,4382.96,5379.43,7759.22
Zachodniopomorskie,3417.76,3793.68,4431.95,5549.85,8027.37
